customer_id, customer_name            , customer_type, credit_terms_days, primary_freight_type, account_status, contract_start_date, annual_revenue_potential,updated_at
CUST00017  , Superior Supply Chain    , Dedicated    ,60, Automotive          , Active        , 2021-03-02         ,2743711,2026-09-09T09:57:04.257255+00:00
CUST00018  , ABC Retail               , Dedicated    ,60, General             , Active        , 2021-06-12         ,4714416,2026-09-09T09:57:04.257255+00:00
CUST00019  , American Supply Chain    , Contract     ,30, Retail              , Active        , 2020-12-28         ,2823396,2026-09-09T09:57:04.257255+00:00
CUST00020  , First Corp               , Contract     ,30, Consumer Goods      , Inactive      , 2021-11-09         ,3218209,2026-09-09T09:57:04.257255+00:00
CUST00021  , Elite Industries         , Dedicated    ,60, Consumer Goods      , Active        , 2020-02-19         ,3558986,2026-09-09T09:57:04.257255+00:00
CUST00022  , Continental Supply Chain , Contract     ,15, Automotive          , Active        , 2021-05-23         ,3712034,2026-09-09T09:57:04.257255+00:00
CUST00023  , Continental Industries   , Spot         ,30, General             , Active        , 2021-09-08         ,2813302,2026-09-09T09:57:04.257255+00:00
CUST00024  , XYZ Distribution         , Contract     ,15, Electronics         , Active        , 2021-05-05         ,2119327,2026-09-09T09:57:04.257255+00:00
CUST00025  , Pacific Retail           , Contract     ,30, Food/Beverage       , Inactive      , 2020-03-24         ,4824000,2026-09-09T09:57:04.257255+00:00
CUST00026  , ABC Supply Chain         , Dedicated    ,30, Retail              , Inactive      , 2020-10-14         ,4677044,2026-09-09T09:57:04.257255+00:00
CUST00027  , Superior Foods           , Spot         ,30, Automotive          , Active        , 2021-02-03         ,1894559,2026-09-09T09:57:04.257255+00:00
CUST00028  , First Group              , Contract     ,15, Automotive          , Active        , 2021-12-17         ,3246257,2026-09-09T09:57:04.257255+00:00
CUST00029  , Superior Distribution    , Dedicated    ,30, Food/Beverage       , Active        , 2021-07-14         ,4715736,2026-09-09T09:57:04.257255+00:00
CUST00030  , ABC Manufacturing        , Spot         ,15, Electronics         , Active        , 2021-03-25         ,2231454,2026-09-09T09:57:04.257255+00:00
CUST00031  , American Manufacturing   , Dedicated    ,30, Automotive          , Active        , 2020-05-13         ,3119970,2026-09-09T09:57:04.257255+00:00
CUST00032  , Continental Wholesale    , Dedicated    ,45, Food/Beverage       , Active        , 2021-09-01         ,3895035,2026-09-09T09:57:04.257255+00:00
CUST00033  , XYZ Foods                , Contract     ,30, Consumer Goods      , Active        , 2020-11-22         ,3853900,2026-09-09T09:57:04.257255+00:00
CUST00034  , Elite Retail             , Contract     ,60, Consumer Goods      , Active        , 2021-04-28         ,3431037,2026-09-09T09:57:04.257255+00:00
CUST00035  , United Distribution      , Spot         ,15, Food/Beverage       , Active        , 2021-12-23         ,101641,2026-09-09T09:57:04.257255+00:00
CUST00036  , National Retail          , Spot         ,45, Retail              , Active        , 2021-11-19         ,390773,2026-09-09T09:57:04.257255+00:00
CUST00037  , American Retail          , Spot         ,15, Consumer Goods      , Active        , 2020-05-16         ,2486409,2026-09-09T09:57:04.257255+00:00
CUST00038  , Continental Supply Chain , Dedicated    ,30, Food/Beverage       , Active        , 2020-01-25         ,236754,2026-09-09T09:57:04.257255+00:00
CUST00039  , XYZ Wholesale            , Contract     ,60, Food/Beverage       , Active        , 2020-09-02         ,4442022,2026-09-09T09:57:04.257255+00:00
CUST00040  , ABC Corp                 , Contract     ,60, Consumer Goods      , Active        , 2020-01-28         ,1233181,2026-09-09T09:57:04.257255+00:00
CUST00041  , XYZ Industries           , Dedicated    ,60, Food/Beverage       , Active        , 2020-05-01         ,2632031,2026-09-09T09:57:04.257255+00:00
CUST00042  , American Corp            , Dedicated    ,30, Automotive          , Active        , 2021-07-27         ,155103,2026-09-09T09:57:04.257255+00:00
CUST00043  , First Manufacturing      , Spot         ,30, Food/Beverage       , Inactive      , 2020-12-17         ,2619383,2026-09-09T09:57:04.257255+00:00
CUST00044  , American Logistics       , Contract     ,60, Food/Beverage       , Active        , 2021-10-02         ,1961320,2026-09-09T09:57:04.257255+00:00
CUST00045  , First Logistics          , Dedicated    ,30, Food/Beverage       , Active        , 2021-04-22         ,1902064,2026-09-09T09:57:04.257255+00:00
CUST00046  , First Wholesale          , Dedicated    ,30, Food/Beverage       , Active        , 2021-07-24         ,2741611,2026-09-09T09:57:04.257255+00:00
CUST00047  , Elite Industries         , Spot         ,45, Electronics         , Inactive      , 2020-08-08         ,282044,2026-09-09T09:57:04.257255+00:00
CUST00048  , First Manufacturing      , Spot         ,30, Automotive          , Active        , 2021-09-30         ,2414896,2026-09-09T09:57:04.257255+00:00
CUST00049  , Continental Corp         , Spot         ,45, Food/Beverage       , Active        , 2020-01-30         ,4744463,2026-09-09T09:57:04.257255+00:00
CUST00050  , Global Manufacturing     , Spot         ,60, General             , Active        , 2020-04-08         ,4388856,2026-09-09T09:57:04.257255+00:00
CUST00051  , XYZ Wholesale            , Contract     ,15, General             , Inactive      , 2021-01-20         ,4766776,2026-09-09T09:57:04.257255+00:00
CUST00052  , Metro Corp               , Contract     ,30, General             , Active        , 2020-04-01         ,4887111,2026-09-09T09:57:04.257255+00:00
CUST00053  , Elite Supply Chain       , Spot         ,60, Consumer Goods      , Active        , 2021-11-01         ,4895027,2026-09-09T09:57:04.257255+00:00
CUST00054  , First Wholesale          , Contract     ,60, Consumer Goods      , Active        , 2021-11-01         ,1397841,2026-09-09T09:57:04.257255+00:00
CUST00055  , National Corp            , Contract     ,30, Retail              , Active        , 2021-01-02         ,890937,2026-09-09T09:57:04.257255+00:00
CUST00056  , Continental Retail       , Dedicated    ,15, Electronics         , Active        , 2020-03-12         ,416555,2026-09-09T09:57:04.257255+00:00
CUST00057  , Premier Wholesale        , Contract     ,15, General             , Active        , 2021-07-28         ,3961861,2026-09-09T09:57:04.257255+00:00
CUST00058  , Superior Foods           , Contract     ,30, Electronics         , Active        , 2020-01-14         ,3083456,2026-09-09T09:57:04.257255+00:00
CUST00059  , American Manufacturing   , Spot         ,60, General             , Active        , 2020-07-01         ,1409521,2026-09-09T09:57:04.257255+00:00
CUST00060  , Global Wholesale         , Spot         ,30, Retail              , Active        , 2021-09-14         ,1261052,2026-09-09T09:57:04.257255+00:00
CUST00061  , Elite Group              , Spot         ,15, Automotive          , Active        , 2021-08-26         ,2322881,2026-09-09T09:57:04.257255+00:00
CUST00062  , Premier Group            , Dedicated    ,30, Electronics         , Inactive      , 2020-08-20         ,3179314,2026-09-09T09:57:04.257255+00:00
CUST00063  , Superior Group           , Dedicated    ,60, Automotive          , Active        , 2021-05-08         ,4983476,2026-09-09T09:57:04.257255+00:00
CUST00064  , Metro Retail             , Spot         ,15, Retail              , Active        , 2021-02-11         ,2195951,2026-09-09T09:57:04.257255+00:00
CUST00065  , United Retail            , Dedicated    ,15, Electronics         , Active        , 2020-06-09         ,2054496,2026-09-09T09:57:04.257255+00:00
CUST00066  , Elite Foods              , Dedicated    ,15, Automotive          , Active        , 2020-03-12         ,2249529,2026-09-09T09:57:04.257255+00:00
CUST00067  , Metro Supply Chain       , Contract     ,60, Retail              , Active        , 2021-01-11         ,2619119,2026-09-09T09:57:04.257255+00:00
CUST00068  , Metro Manufacturing      , Contract     ,30, Food/Beverage       , Active        , 2020-10-09         ,870956,2026-09-09T09:57:04.257255+00:00
CUST00069  , Continental Manufacturing, Contract     ,15, Electronics         , Active        , 2021-06-18         ,4885593,2026-09-09T09:57:04.257255+00:00
CUST00070  , First Group              , Spot         ,60, Automotive          , Inactive      , 2021-12-11         ,3453750,2026-09-09T09:57:04.257255+00:00
CUST00071  , Continental Supply Chain , Spot         ,60, Retail              , Active        , 2020-01-27         ,4873662,2026-09-09T09:57:04.257255+00:00
CUST00072  , Continental Distribution , Spot         ,45, Food/Beverage       , Inactive      , 2020-12-11         ,1923996,2026-09-09T09:57:04.257255+00:00
CUST00073  , Pacific Supply Chain     , Dedicated    ,15, Electronics         , Active        , 2020-12-31         ,747613,2026-09-09T09:57:04.257255+00:00
CUST00074  , First Industries         , Contract     ,60, Food/Beverage       , Active        , 2021-08-17         ,2823714,2026-09-09T09:57:04.257255+00:00
CUST00075  , Elite Corp               , Contract     ,30, General             , Inactive      , 2021-04-20         ,4147781,2026-09-09T09:57:04.257255+00:00
CUST00076  , Metro Wholesale          , Spot         ,60, Electronics         , Active        , 2021-11-22         ,1550411,2026-09-09T09:57:04.257255+00:00
CUST00077  , Metro Group              , Spot         ,60, Retail              , Inactive      , 2020-08-23         ,4195959,2026-09-09T09:57:04.257255+00:00
CUST00078  , Premier Wholesale        , Spot         ,45, Retail              , Inactive      , 2020-01-09         ,4933788,2026-09-09T09:57:04.257255+00:00
CUST00079  , Pacific Logistics        , Spot         ,15, Electronics         , Active        , 2020-10-10         ,899971,2026-09-09T09:57:04.257255+00:00
CUST00080  , First Distribution       , Spot         ,60, General             , Inactive      , 2020-06-08         ,2619881,2026-09-09T09:57:04.257255+00:00
CUST00081  , ABC Wholesale            , Spot         ,30, Electronics         , Active        , 2021-03-06         ,413495,2026-09-09T09:57:04.257255+00:00
CUST00082  , Global Logistics         , Spot         ,45, Automotive          , Inactive      , 2020-06-25         ,4934218,2026-09-09T09:57:04.257255+00:00
CUST00083  , Metro Logistics          , Contract     ,60, Retail              , Inactive      , 2020-01-19         ,3300640,2026-09-09T09:57:04.257255+00:00
CUST00084  , United Foods             , Dedicated    ,30, Consumer Goods      , Active        , 2020-08-18         ,758316,2026-09-09T09:57:04.257255+00:00
CUST00085  , Pacific Manufacturing    , Dedicated    ,15, Food/Beverage       , Active        , 2021-06-21         ,569113,2026-09-09T09:57:04.257255+00:00
CUST00086  , Premier Foods            , Contract     ,45, Retail              , Active        , 2020-05-31         ,2905063,2026-09-09T09:57:04.257255+00:00
CUST00087  , Global Logistics         , Contract     ,60, General             , Inactive      , 2021-06-24         ,3018650,2026-09-09T09:57:04.257255+00:00
CUST00088  , Continental Foods        , Dedicated    ,45, Consumer Goods      , Active        , 2020-06-24         ,3743209,2026-09-09T09:57:04.257255+00:00
CUST00089  , United Group             , Spot         ,30, Electronics         , Active        , 2021-01-10         ,3594037,2026-09-09T09:57:04.257255+00:00
CUST00090  , ABC Supply Chain         , Dedicated    ,15, Retail              , Active        , 2021-02-04         ,1111167,2026-09-09T09:57:04.257255+00:00
CUST00091  , American Distribution    , Contract     ,15, Automotive          , Active        , 2020-09-09         ,2001845,2026-09-09T09:57:04.257255+00:00
CUST00092  , Elite Group              , Dedicated    ,15, Consumer Goods      , Active        , 2021-03-26         ,195918,2026-09-09T09:57:04.257255+00:00
CUST00093  , United Group             , Spot         ,15, General             , Active        , 2020-04-28         ,3308533,2026-09-09T09:57:04.257255+00:00
CUST00094  , National Retail          , Contract     ,60, General             , Active        , 2020-06-13         ,554058,2026-09-09T09:57:04.257255+00:00
CUST00095  , First Foods              , Contract     ,30, Consumer Goods      , Active        , 2021-07-21         ,2656708,2026-09-09T09:57:04.257255+00:00
CUST00096  , Continental Logistics    , Dedicated    ,45, Food/Beverage       , Active        , 2021-10-23         ,4498846,2026-09-09T09:57:04.257255+00:00
CUST00097  , National Wholesale       , Contract     ,60, Retail              , Active        , 2020-07-07         ,445461,2026-09-09T09:57:04.257255+00:00
CUST00098  , National Supply Chain    , Dedicated    ,45, Electronics         , Active        , 2021-07-27         ,2778621,2026-09-09T09:57:04.257255+00:00
CUST00099  , First Logistics          , Dedicated    ,15, General             , Inactive      , 2020-09-28         ,4629258,2026-09-09T09:57:04.257255+00:00
CUST00100  , ABC Foods                , Contract     ,30, Automotive          , Active        , 2021-03-05         ,4838832,2026-09-09T09:57:04.257255+00:00
CUST00101  , United Corp              , Contract     ,60, Automotive          , Active        , 2021-04-07         ,1354768,2026-09-09T09:57:04.257255+00:00
CUST00102  , Pacific Industries       , Dedicated    ,45, Electronics         , Active        , 2020-06-26         ,2841662,2026-09-09T09:57:04.257255+00:00
CUST00103  , United Supply Chain      , Contract     ,45, Automotive          , Active        , 2020-12-22         ,4314450,2026-09-09T09:57:04.257255+00:00
CUST00104  , Pacific Corp             , Contract     ,60, Food/Beverage       , Inactive      , 2020-09-24         ,1952180,2026-09-09T09:57:04.257255+00:00
CUST00105  , First Corp               , Spot         ,45, Electronics         , Active        , 2022-01-01         ,1385113,2026-09-09T09:57:04.257255+00:00
CUST00106  , United Retail            , Contract     ,45, Automotive          , Active        , 2020-03-19         ,523790,2026-09-09T09:57:04.257255+00:00
CUST00107  , Premier Industries       , Dedicated    ,60, Food/Beverage       , Active        , 2020-08-01         ,3395738,2026-09-09T09:57:04.257255+00:00
CUST00108  , Global Distribution      , Dedicated    ,30, Automotive          , Active        , 2020-12-09         ,3838099,2026-09-09T09:57:04.257255+00:00
CUST00109  , Global Manufacturing     , Contract     ,60, Retail              , Active        , 2021-06-26         ,4925587,2026-09-09T09:57:04.257255+00:00
CUST00110  , Continental Group        , Spot         ,60, Electronics         , Active        , 2021-12-13         ,4333976,2026-09-09T09:57:04.257255+00:00
CUST00111  , XYZ Wholesale            , Contract     ,30, Automotive          , Active        , 2020-04-07         ,855670,2026-09-09T09:57:04.257255+00:00
CUST00112  , ABC Wholesale            , Contract     ,45, Automotive          , Inactive      , 2020-12-25         ,1962989,2026-09-09T09:57:04.257255+00:00
CUST00113  , Premier Group            , Spot         ,60, Food/Beverage       , Active        , 2020-04-06         ,3723339,2026-09-09T09:57:04.257255+00:00
CUST00114  , Premier Manufacturing    , Contract     ,45, Retail              , Active        , 2021-05-02         ,2530876,2026-09-09T09:57:04.257255+00:00
CUST00115  , Global Corp              , Dedicated    ,45, Retail              , Inactive      , 2021-02-07         ,3407816,2026-09-09T09:57:04.257255+00:00
CUST00116  , Premier Logistics        , Spot         ,45, Food/Beverage       , Active        , 2021-10-29         ,1341618,2026-09-09T09:57:04.257255+00:00
CUST00117  , Superior Industries      , Spot         ,60, Retail              , Active        , 2020-02-27         ,1208882,2026-09-09T09:57:04.257255+00:00
CUST00118  , Continental Manufacturing, Dedicated    ,30, Consumer Goods      , Active        , 2020-06-29         ,2919983,2026-09-09T09:57:04.257255+00:00
CUST00119  , ABC Manufacturing        , Contract     ,15, Automotive          , Inactive      , 2020-12-01         ,792438,2026-09-09T09:57:04.257255+00:00
CUST00120  , Superior Corp            , Contract     ,30, Automotive          , Active        , 2021-06-21         ,4091758,2026-09-09T09:57:04.257255+00:00
CUST00121  , ABC Corp                 , Spot         ,60, Retail              , Active        , 2020-07-14         ,4893591,2026-09-09T09:57:04.257255+00:00
CUST00122  , Metro Foods              , Dedicated    ,30, Automotive          , Active        , 2020-02-02         ,513651,2026-09-09T09:57:04.257255+00:00
CUST00123  , American Corp            , Spot         ,15, Retail              , Active        , 2020-08-10         ,4698235,2026-09-09T09:57:04.257255+00:00
CUST00124  , First Supply Chain       , Contract     ,30, Food/Beverage       , Active        , 2020-06-16         ,3448659,2026-09-09T09:57:04.257255+00:00
CUST00125  , XYZ Supply Chain         , Contract     ,60, Electronics         , Active        , 2021-07-28         ,2302495,2026-09-09T09:57:04.257255+00:00
CUST00126  , First Retail             , Dedicated    ,45, Food/Beverage       , Active        , 2020-04-14         ,813694,2026-09-09T09:57:04.257255+00:00
CUST00127  , Global Group             , Spot         ,15, Electronics         , Active        , 2021-03-18         ,3443087,2026-09-09T09:57:04.257255+00:00
CUST00128  , XYZ Group                , Spot         ,30, Consumer Goods      , Active        , 2021-02-05         ,4309597,2026-09-09T09:57:04.257255+00:00
CUST00129  , Global Wholesale         , Contract     ,60, Food/Beverage       , Active        , 2020-11-08         ,3744775,2026-09-09T09:57:04.257255+00:00
CUST00130  , First Group              , Dedicated    ,15, General             , Active        , 2020-03-16         ,1193666,2026-09-09T09:57:04.257255+00:00
CUST00131  , National Distribution    , Contract     ,15, Consumer Goods      , Inactive      , 2021-02-06         ,1231377,2026-09-09T09:57:04.257255+00:00
CUST00132  , Superior Retail          , Dedicated    ,30, Automotive          , Inactive      , 2021-09-10         ,4134270,2026-09-09T09:57:04.257255+00:00
CUST00133  , United Supply Chain      , Contract     ,60, Food/Beverage       , Active        , 2021-09-25         ,4791716,2026-09-09T09:57:04.257255+00:00
CUST00134  , Superior Supply Chain    , Contract     ,60, Electronics         , Active        , 2020-07-15         ,1761854,2026-09-09T09:57:04.257255+00:00
CUST00135  , Premier Retail           , Dedicated    ,15, Retail              , Inactive      , 2020-02-27         ,4192475,2026-09-09T09:57:04.257255+00:00
CUST00136  , Pacific Corp             , Contract     ,15, Retail              , Active        , 2021-10-25         ,3416174,2026-09-09T09:57:04.257255+00:00
CUST00137  , First Industries         , Dedicated    ,45, Food/Beverage       , Active        , 2021-11-18         ,4892669,2026-09-09T09:57:04.257255+00:00
CUST00138  , First Logistics          , Spot         ,30, Food/Beverage       , Active        , 2021-08-22         ,1745000,2026-09-09T09:57:04.257255+00:00
CUST00139  , XYZ Supply Chain         , Dedicated    ,45, Consumer Goods      , Active        , 2021-07-03         ,4807415,2026-09-09T09:57:04.257255+00:00
CUST00140  , American Retail          , Dedicated    ,15, Food/Beverage       , Active        , 2021-11-30         ,4497709,2026-09-09T09:57:04.257255+00:00
CUST00141  , Metro Corp               , Contract     ,15, Retail              , Active        , 2021-06-09         ,2165659,2026-09-09T09:57:04.257255+00:00
CUST00142  , Elite Retail             , Contract     ,60, General             , Active        , 2021-09-14         ,2132686,2026-09-09T09:57:04.257255+00:00
CUST00143  , ABC Supply Chain         , Contract     ,60, Food/Beverage       , Active        , 2020-08-22         ,700993,2026-09-09T09:57:04.257255+00:00
CUST00144  , National Distribution    , Dedicated    ,45, Retail              , Active        , 2021-06-19         ,2333526,2026-09-09T09:57:04.257255+00:00
CUST00145  , National Foods           , Contract     ,15, Retail              , Inactive      , 2021-09-22         ,3707652,2026-09-09T09:57:04.257255+00:00
CUST00146  , First Foods              , Contract     ,30, Food/Beverage       , Active        , 2021-11-30         ,2812973,2026-09-09T09:57:04.257255+00:00
CUST00147  , ABC Group                , Spot         ,60, Consumer Goods      , Active        , 2020-05-27         ,4931991,2026-09-09T09:57:04.257255+00:00
CUST00148  , Pacific Supply Chain     , Spot         ,60, Electronics         , Inactive      , 2020-03-15         ,851574,2026-09-09T09:57:04.257255+00:00
CUST00149  , First Group              , Dedicated    ,15, Electronics         , Active        , 2020-11-30         ,1043968,2026-09-09T09:57:04.257255+00:00
CUST00150  , American Industries      , Dedicated    ,30, Consumer Goods      , Active        , 2020-02-28         ,3569377,2026-09-09T09:57:04.257255+00:00
CUST00151  , ABC Foods                , Spot         ,45, Automotive          , Active        , 2020-08-18         ,3652916,2026-09-09T09:57:04.257255+00:00
CUST00152  , Metro Retail             , Dedicated    ,30, Retail              , Active        , 2020-07-12         ,3164087,2026-09-09T09:57:04.257255+00:00
CUST00153  , Superior Group           , Dedicated    ,15, Automotive          , Active        , 2020-04-03         ,3021818,2026-09-09T09:57:04.257255+00:00
CUST00154  , XYZ Distribution         , Spot         ,30, Automotive          , Active        , 2020-01-14         ,1697943,2026-09-09T09:57:04.257255+00:00
CUST00155  , Global Group             , Spot         ,30, Electronics         , Inactive      , 2020-05-07         ,2790548,2026-09-09T09:57:04.257255+00:00
CUST00156  , First Logistics          , Dedicated    ,15, Electronics         , Active        , 2021-04-14         ,2990084,2026-09-09T09:57:04.257255+00:00
CUST00157  , Metro Distribution       , Dedicated    ,45, General             , Active        , 2021-11-12         ,303061,2026-09-09T09:57:04.257255+00:00
CUST00158  , United Retail            , Contract     ,30, Retail              , Active        , 2020-12-22         ,2657005,2026-09-09T09:57:04.257255+00:00
CUST00159  , Metro Wholesale          , Dedicated    ,15, General             , Active        , 2021-05-20         ,1519816,2026-09-09T09:57:04.257255+00:00
CUST00160  , XYZ Retail               , Contract     ,30, Consumer Goods      , Active        , 2020-04-21         ,3033633,2026-09-09T09:57:04.257255+00:00
CUST00161  , First Wholesale          , Spot         ,15, Food/Beverage       , Active        , 2021-10-21         ,3809527,2026-09-09T09:57:04.257255+00:00
CUST00162  , Metro Distribution       , Spot         ,45, General             , Active        , 2021-12-19         ,1323214,2026-09-09T09:57:04.257255+00:00
CUST00163  , Continental Manufacturing, Spot         ,60, Food/Beverage       , Active        , 2021-06-02         ,3794875,2026-09-09T09:57:04.257255+00:00
CUST00164  , ABC Industries           , Spot         ,45, Automotive          , Active        , 2020-03-01         ,476460,2026-09-09T09:57:04.257255+00:00
CUST00165  , Continental Supply Chain , Dedicated    ,60, Retail              , Active        , 2020-08-16         ,2058652,2026-09-09T09:57:04.257255+00:00
CUST00166  , ABC Distribution         , Dedicated    ,60, Consumer Goods      , Active        , 2021-10-12         ,1775080,2026-09-09T09:57:04.257255+00:00
CUST00167  , XYZ Logistics            , Contract     ,30, General             , Active        , 2020-09-09         ,3235836,2026-09-09T09:57:04.257255+00:00
CUST00168  , Global Foods             , Spot         ,15, Retail              , Active        , 2020-03-18         ,1408549,2026-09-09T09:57:04.257255+00:00
CUST00169  , First Distribution       , Dedicated    ,15, Consumer Goods      , Active        , 2021-10-31         ,819863,2026-09-09T09:57:04.257255+00:00
CUST00170  , Elite Retail             , Contract     ,15, Automotive          , Active        , 2020-12-28         ,1042642,2026-09-09T09:57:04.257255+00:00
CUST00171  , Premier Wholesale        , Contract     ,45, Automotive          , Active        , 2020-06-09         ,557498,2026-09-09T09:57:04.257255+00:00
CUST00172  , National Industries      , Contract     ,45, Automotive          , Active        , 2020-11-02         ,2138836,2026-09-09T09:57:04.257255+00:00
CUST00173  , Metro Wholesale          , Spot         ,45, Automotive          , Active        , 2020-12-20         ,1338805,2026-09-09T09:57:04.257255+00:00
CUST00174  , National Supply Chain    , Contract     ,45, Electronics         , Active        , 2020-01-07         ,2513277,2026-09-09T09:57:04.257255+00:00
CUST00175  , ABC Wholesale            , Spot         ,30, Electronics         , Active        , 2021-11-03         ,215203,2026-09-09T09:57:04.257255+00:00
CUST00176  , Metro Distribution       , Contract     ,30, Automotive          , Active        , 2020-04-10         ,2979568,2026-09-09T09:57:04.257255+00:00
CUST00177  , First Logistics          , Contract     ,60, Automotive          , Active        , 2021-04-04         ,1033467,2026-09-09T09:57:04.257255+00:00
CUST00178  , Metro Corp               , Contract     ,60, General             , Active        , 2020-07-09         ,2659515,2026-09-09T09:57:04.257255+00:00
CUST00179  , XYZ Corp                 , Dedicated    ,15, Retail              , Active        , 2021-11-21         ,3875390,2026-09-09T09:57:04.257255+00:00
CUST00180  , ABC Distribution         , Spot         ,45, General             , Active        , 2021-10-21         ,4052630,2026-09-09T09:57:04.257255+00:00
CUST00181  , Superior Group           , Contract     ,30, Automotive          , Active        , 2021-02-24         ,290825,2026-09-09T09:57:04.257255+00:00
CUST00182  , XYZ Foods                , Spot         ,60, Consumer Goods      , Active        , 2021-10-14         ,2883983,2026-09-09T09:57:04.257255+00:00
CUST00183  , Pacific Foods            , Spot         ,15, Electronics         , Active        , 2021-05-25         ,1853299,2026-09-09T09:57:04.257255+00:00
CUST00184  , Elite Distribution       , Contract     ,15, Food/Beverage       , Inactive      , 2020-07-19         ,4613116,2026-09-09T09:57:04.257255+00:00
CUST00185  , Premier Industries       , Contract     ,45, Electronics         , Active        , 2021-09-24         ,1877338,2026-09-09T09:57:04.257255+00:00
CUST00186  , National Wholesale       , Dedicated    ,45, Electronics         , Active        , 2021-09-20         ,1809609,2026-09-09T09:57:04.257255+00:00
CUST00187  , Metro Logistics          , Contract     ,15, Consumer Goods      , Active        , 2021-05-10         ,4683738,2026-09-09T09:57:04.257255+00:00
CUST00188  , American Manufacturing   , Spot         ,45, Consumer Goods      , Active        , 2020-07-06         ,4489472,2026-09-09T09:57:04.257255+00:00
CUST00189  , First Retail             , Spot         ,45, Electronics         , Active        , 2020-12-03         ,2269780,2026-09-09T09:57:04.257255+00:00
CUST00190  , Global Wholesale         , Dedicated    ,60, Food/Beverage       , Active        , 2021-06-21         ,4703668,2026-09-09T09:57:04.257255+00:00
CUST00191  , Pacific Group            , Contract     ,60, Automotive          , Active        , 2021-06-18         ,4151918,2026-09-09T09:57:04.257255+00:00
CUST00192  , Premier Manufacturing    , Spot         ,60, Automotive          , Active        , 2020-07-12         ,1285708,2026-09-09T09:57:04.257255+00:00
CUST00193  , Premier Supply Chain     , Spot         ,30, Automotive          , Active        , 2020-02-29         ,254254,2026-09-09T09:57:04.257255+00:00
CUST00194  , ABC Group                , Spot         ,45, Consumer Goods      , Active        , 2021-04-22         ,3259205,2026-09-09T09:57:04.257255+00:00
CUST00195  , First Manufacturing      , Spot         ,60, Electronics         , Active        , 2020-05-28         ,4990599,2026-09-09T09:57:04.257255+00:00
CUST00196  , XYZ Logistics            , Spot         ,60, Retail              , Active        , 2020-04-01         ,4519111,2026-09-09T09:57:04.257255+00:00
CUST00197  , ABC Corp                 , Contract     ,15, Consumer Goods      , Active        , 2021-07-02         ,464753,2026-09-09T09:57:04.257255+00:00
CUST00198  , Elite Wholesale          , Dedicated    ,60, Retail              , Active        , 2020-06-09         ,2242923,2026-09-09T09:57:04.257255+00:00
CUST00199  , First Group              , Contract     ,15, General             , Active        , 2020-06-09         ,1528744,2026-09-09T09:57:04.257255+00:00
CUST00200  , XYZ Foods                , Dedicated    ,45, Retail              , Inactive      , 2020-11-02         ,604239,2026-09-09T09:57:04.257255+00:00
